City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
266,srinagar,34.0833,74.8167,10.010000000000048,37,0,1.56,IN,1712607223
267,dawei,14.0833,98.2,24.870000000000005,75,6,1.18,MM,1712607353
268,yinchuan,38.4681,106.2731,13.870000000000005,42,14,0.37,CN,1712607122
269,kisaran,2.9845,99.6158,24.210000000000036,98,99,0.71,ID,1712607353
270,saint-louis,16.3333,-15.0,31.760000000000048,15,0,5.27,SN,1712607353
271,myeik,12.4333,98.6,27.75,78,36,1.73,MM,1712607067
272,waingapu,-9.6567,120.2641,26.08000000000004,82,100,1.49,ID,1712607157
273,uray,60.1247,64.7758,-3.3999999999999773,98,95,1.34,RU,1712607353
274,murghob,38.1702,73.9667,-10.5,40,14,3.81,TJ,1712607354
275,meiganga,6.5167,14.3,23.52000000000004,61,100,1.39,CM,1712607354
276,tsiombe,-25.3,45.4833,21.600000000000023,73,100,6.06,MG,1712607354
277,pangody,65.85,74.4859,-17.869999999999976,90,64,3.24,RU,1712607354
278,tura,25.5198,90.2201,22.390000000000043,38,22,1.06,IN,1712607256
279,grajau,-5.8194,-46.1386,27.090000000000032,92,93,1.57,BR,1712607354
280,zinjibar,13.1287,45.3807,28.100000000000023,76,59,5.06,YE,1712607354
281,kingston,17.997,-76.7936,32.870000000000005,59,20,8.23,JM,1712607150
282,buckhannon,38.994,-80.232,23.30000000000001,46,20,4.12,US,1712607355
283,thetford-mines,46.0937,-71.3054,12.060000000000002,68,5,4.05,CA,1712607355
284,masterton,-40.9597,175.6575,15.490000000000009,88,5,1.97,NZ,1712607355
285,raja,8.4596,25.678,27.99000000000001,40,47,0.41,SS,1712607355
286,new norfolk,-42.7826,147.0587,6.510000000000048,86,2,1.26,AU,1712607355
287,umm kaddadah,13.6017,26.6876,26.74000000000001,11,97,5.95,SD,1712607355
288,ixtapa,20.7,-105.2,23.57000000000005,73,20,4.63,MX,1712607355
289,farafangana,-22.8167,47.8333,23.430000000000007,91,63,0.76,MG,1712607356
290,el granada,37.5027,-122.4694,22.120000000000005,65,0,6.69,US,1712607356
291,lujan,-34.5703,-59.105,24.970000000000027,77,6,1.79,AR,1712607122
292,berdigestyakh,62.0989,126.6992,-7.229999999999961,98,100,0.55,RU,1712607356
293,freetown,8.484,-13.2299,26.390000000000043,79,6,4.6,SL,1712607356
294,mugia,43.1041,-9.2179,11.060000000000002,62,3,8.9,ES,1712607172
295,las khorey,11.1595,48.1967,28.79000000000002,71,16,3.71,SO,1712607356
296,ilhabela,-23.7781,-45.3581,24.470000000000027,89,100,2.35,BR,1712607057
297,wanning,18.8003,110.3967,24.0,94,8,1.07,CN,1712607357
298,okhotsk,59.3833,143.3,-2.579999999999984,97,100,2.24,RU,1712607357
299,pariaman,-0.619,100.12,26.03000000000003,87,96,2.22,ID,1712607357
300,tobruk,32.0836,23.9764,16.640000000000043,67,9,6.18,LY,1712607357
301,dolores,-36.3132,-57.6792,24.760000000000048,50,3,5.44,AR,1712607357
302,reggane,26.7158,0.1714,31.610000000000014,8,0,1.08,DZ,1712607357
303,al jawf,29.5,38.75,21.78000000000003,20,0,2.82,SA,1712607357
304,shangzhi,45.2167,127.9667,-4.199999999999989,34,0,2.13,CN,1712607358
305,mingguang,32.7802,117.9638,10.79000000000002,76,66,1.45,CN,1712607358
306,san patricio,28.017,-97.5169,26.04000000000002,71,100,8.83,US,1712607358
307,stephenville,32.2207,-98.2023,26.54000000000002,60,0,3.6,US,1712607316
308,pont rouge,48.8833,-72.0825,12.160000000000025,47,59,5.3,CA,1712607358
309,codrington,-38.2667,141.9667,12.840000000000032,61,100,7.53,AU,1712607359
310,kupino,54.3663,77.2981,7.420000000000016,91,88,3.63,RU,1712607359
311,hamilton,39.1834,-84.5333,24.99000000000001,50,0,4.12,US,1712607075
312,floro,61.5996,5.0328,8.04000000000002,71,88,8.75,NO,1712607359
313,fisterra,42.9049,-9.2629,10.970000000000027,60,3,9.89,ES,1712607359
314,princeville,45.7668,-61.2985,7.560000000000002,63,20,2.68,CA,1712607359
315,mglin,53.0591,32.8475,13.629999999999995,73,100,2.78,RU,1712607359
316,tateyama,34.9833,139.8667,19.960000000000036,94,75,4.63,JP,1712607360
317,manta,-0.95,-80.7333,31.879999999999995,65,40,5.66,EC,1712607310
